index,TOOL,EVENT_ID,DATE_TIME,TRANSACTION_CODE,NEW_AVAILABLE_CODE,COMMENT,Problem,Actions,Category
33,RIE03     ,0,12/25/2024 5:22,UMCOMP,D,"Problem:, Could not open PM2 slit valve:Slit valve, took too long to open RUN# AA, PRC:, Unknown, Act:, retried opening slit and wafer was moved, into the chamber. Observed the wafer IP, came out with no slit valve issue, Next wafer also ran o.k., Problem:, Could not open PM2 slit valve:Slit valve, took too long to open RUN# AA, PRC:, Unknown, Act:, retried opening slit and wafer was moved, into the chamber. Observed the wafer IP, came out with no slit valve issue, Next wafer also ran o.k., Problem:, Could not open PM2 slit valve:Slit valve, took too long to open RUN# AA, PRC:, Unknown, Act:, retried opening slit and wafer was moved, into the chamber. Observed the wafer IP, came out with no slit valve issue, Next wafer also ran o.k.",Could not open PM2 slit valve; slit valve took too long to open during RUN# AA; wafer transfer delayed,Retried opening the slit valve; moved wafer into the chamber; observed wafer IP returning with no slit valve issue; confirmed next wafer also ran OK,slit valve issues
34,RIE03     ,0,1/15/2025 5:02,UMCOMP,D,"Problem:, Low etch rate/low BIAS, PRC:, dirty chamber, Act:, Wet cleaned the chamber and spool., Scotch bright the SS top of unit., Ran 4 wafers all but the first one right, around 225 W BIAS. The lowest was 210., RTP, Problem:, Low etch rate/low BIAS, PRC:, dirty chamber, Act:, Wet cleaned the chamber and spool., Scotch bright the SS top of unit., Ran 4 wafers all but the first one right, around 225 W BIAS. The lowest was 210., RTP, Problem:, Low etch rate/low BIAS, PRC:, dirty chamber, Act:, Wet cleaned the chamber and spool., Scotch bright the SS top of unit., Ran 4 wafers all but the first one right, around 225 W BIAS. The lowest was 210., RTP",Low etch rate/low BIAS due to dirty chamber,"Wet cleaned the chamber and spool. Scotch-brite cleaned the stainless steel top of the unit. Ran 4 wafers; all but the first were around 225 W BIAS, with the lowest at 210 W BIAS.",Etch Rate issues
35,RIE03     ,0,3/17/2025 23:53,UMCOMP,D,"Problem: Transfer pressure different, prc: unknown, act: clear transfer alarm slit valve, open and process continue slot #4, without issue. Tim help me degas ion, gauge for process module, and reboot, system. Load 2 dummy test run without, issue. RTBP      Tim/Kenny., Problem: Transfer pressure different, prc: unknown, act: clear transfer alarm slit valve, open and process continue slot #4, without issue. Tim help me degas ion, gauge for process module, and reboot, system. Load 2 dummy test run without, issue. RTBP      Tim/Kenny., Problem: Transfer pressure different, prc: unknown, act: clear transfer alarm slit valve, open and process continue slot #4, without issue. Tim help me degas ion, gauge for process module, and reboot, system. Load 2 dummy test run without, issue. RTBP      Tim/Kenny.","Transfer pressure different, process unknown",Cleared transfer alarm; opened slit valve; continued processing slot #4 without issue; degassed ion gauge for process module with Tim's help; rebooted system; loaded 2 dummy wafers for test run without issue,slit valve issues
36,RIE03     ,0,3/18/2025 7:18,UMCOMP,D,"Problem:Slit valve failed to open., PRC:TM pressure too high., Action:PM2 slit valve failed to open, due to TM pressure.Did a system reboot., Ran 2 wafer process and no issues found, with slit valve.I think the new software, looses the sequance every now and then., Problem:Slit valve failed to open., PRC:TM pressure too high., Action:PM2 slit valve failed to open, due to TM pressure.Did a system reboot., Ran 2 wafer process and no issues found, with slit valve.I think the new software, looses the sequance every now and then., Problem:Slit valve failed to open., PRC:TM pressure too high., Action:PM2 slit valve failed to open, due to TM pressure.Did a system reboot., Ran 2 wafer process and no issues found, with slit valve.I think the new software, looses the sequance every now and then.",Slit valve failed to open; TM (transfer module) pressure too high; suspected that new software intermittently loses the sequence.,Identified PM2 slit valve failed to open due to high TM pressure; performed a system reboot; ran 2-wafer process and confirmed no issues with slit valve after reboot.,slit valve issues
37,RIE03     ,0,3/19/2025 7:02,UMCOMP,D,"Problem:Slit valve failed to open., PRC:looses sequence., Action:Ran muliple wafers to test and, could not duplicate the error.Intermitta, nt failure to open the slit valve.RTM., Problem:Slit valve failed to open., PRC:looses sequence., Action:Ran muliple wafers to test and, could not duplicate the error.Intermitta, nt failure to open the slit valve.RTM., Problem:Slit valve failed to open., PRC:looses sequence., Action:Ran muliple wafers to test and, could not duplicate the error.Intermitta, nt failure to open the slit valve.RTM.",Slit valve failed to open; PRC loses sequence; intermittent failure to open the slit valve.,Ran multiple wafers to test; could not duplicate the error.,slit valve issues
38,RIE03     ,0,4/1/2025 0:33,UMCOMP,D,"PROBLEM:, ALARM: Could not open PM2 slit valve:, Slit valve took too long too open., PRC:, Unknown, Act:, retrieed open slit and wafer was moved o, ut. Observed the next wafers in/out, O.K................................., PROBLEM:, ALARM: Could not open PM2 slit valve:, Slit valve took too long too open., PRC:, Unknown, Act:, retrieed open slit and wafer was moved o, ut. Observed the next wafers in/out, O.K................................., PROBLEM:, ALARM: Could not open PM2 slit valve:, Slit valve took too long too open., PRC:, Unknown, Act:, retrieed open slit and wafer was moved o, ut. Observed the next wafers in/out, O.K.................................",ALARM: Could not open PM2 slit valve; slit valve took too long to open.,Retried opening the slit valve; wafer was moved out; observed subsequent wafers moving in and out normally.,slit valve issues
39,RIE03     ,0,4/6/2025 3:24,UMCOMP,D,"Problem: RCP Eng issue., Act: Turn tool back production., Problem: RCP Eng issue., Act: Turn tool back production., Problem: RCP Eng issue., Act: Turn tool back production.",RCP Eng issue.,Turn tool back production.,Recipe issues
40,RIE03     ,0,4/14/2025 0:59,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issues (RTP) repeated three times.,
41,RIE03     ,0,4/24/2025 0:47,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue (RTP),
42,RIE03     ,0,4/24/2025 3:29,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issues (RTP) repeated three times.,
43,RIE03     ,0,4/28/2025 17:08,UMCOMP,D,"Problem:RF bias not igniting., PRC:Generator., Action:Reset generator,no bias.Vented, the chamber and found the inner edges, of the clamp plate coated.Replaced the, clamp part#802-0011-043.Ran 2 test wafer, s and completed process w/o issues., Chamber was vented.Tool needs full quals, Problem:RF bias not igniting., PRC:Generator., Action:Reset generator,no bias.Vented, the chamber and found the inner edges, of the clamp plate coated.Replaced the, clamp part#802-0011-043.Ran 2 test wafer, s and completed process w/o issues., Chamber was vented.Tool needs full quals, Problem:RF bias not igniting., PRC:Generator., Action:Reset generator,no bias.Vented, the chamber and found the inner edges, of the clamp plate coated.Replaced the, clamp part#802-0011-043.Ran 2 test wafer, s and completed process w/o issues., Chamber was vented.Tool needs full quals",RF bias not igniting.,Reset generator (no bias). Vented the chamber and inspected clamp plate; found inner edges coated. Replaced clamp (part #802-0011-043). Ran 2 test wafers and completed process without issues. Chamber remains vented; tool needs full qualifications.,Bias issues on RF or recipes
44,RIE03     ,0,5/6/2025 11:22,UMCOMP,D,"Problem:RF1 bias V failed to setup., PRC:Chamber check, Action:Vented the chamber,found ICP, head had some coating.Scrubbed the head, and cleaned the clamp plate,feature plat, e.Ran 2 wafer test and completed process, w/o issues.Tool need full quals..., Problem:RF1 bias V failed to setup., PRC:Chamber check, Action:Vented the chamber,found ICP, head had some coating.Scrubbed the head, and cleaned the clamp plate,feature plat, e.Ran 2 wafer test and completed process, w/o issues.Tool need full quals..., Problem:RF1 bias V failed to setup., PRC:Chamber check, Action:Vented the chamber,found ICP, head had some coating.Scrubbed the head, and cleaned the clamp plate,feature plat, e.Ran 2 wafer test and completed process, w/o issues.Tool need full quals...",RF1 bias V failed to setup,Performed chamber check; vented the chamber; found ICP head had coating; scrubbed the head; cleaned clamp plate and feature plate; ran 2-wafer test and completed process without issues; noted tool needs full qualifications,Bias issues on RF or recipes
45,RIE03     ,0,5/6/2025 23:48,UMCOMP,D,"Problem: low etch rate, Action: Ran 3 wafers ALTIC burn to, condition chamber. Qual as needed., Problem: low etch rate, Action: Ran 3 wafers ALTIC burn to, condition chamber. Qual as needed., Problem: low etch rate, Action: Ran 3 wafers ALTIC burn to, condition chamber. Qual as needed.",low etch rate,Ran 3 wafers ALTIC burn to condition chamber. Qual as needed.,Etch Rate issues
46,RIE03     ,0,5/7/2025 4:20,UMCOMP,D,"Problem: Failed etch rate., Action: Ran additional 4 wafers ALTIC, burn. Qual as needed., Problem: Failed etch rate., Action: Ran additional 4 wafers ALTIC, burn. Qual as needed., Problem: Failed etch rate., Action: Ran additional 4 wafers ALTIC, burn. Qual as needed.",Failed etch rate.,"Ran additional 4 wafers ALTIC, burn. Qual as needed.",Etch Rate issues
47,RIE03     ,0,5/8/2025 6:03,UMCOMP,D,"Test run completed w/o any issue. RTP, for qual., Test run completed w/o any issue. RTP, for qual., Test run completed w/o any issue. RTP, for qual.",,Test run completed without any issue for RTP qualification (repeated confirmations).,
48,RIE03     ,0,5/10/2025 21:50,UMCOMP,D,"Running 2 dummies to verify issue., Running 2 dummies to verify issue., Running 2 dummies to verify issue.",Issue under verification (not explicitly stated).,Running 2 dummies to verify issue.,
49,RIE03     ,0,5/12/2025 13:22,UMCOMP,D,"Problem:DC bias error., PRC:Recipe TMR_FLTR_RIE., Action:Rempved the RF feed thru rod, and cleaned.Scotch brite copper ring and, plate,Re-assembled the caps.Got a list, of recipes to run from OP.1.PMR_MIX2,, 2.PP3_ASH_6W_7M,3.N2O2_1.95ccm_115S,, 4.O2PRRE5M,5.MPL1024. Tested all these, recipes and completed process w/o any, DC bias V issues.Only recipe that failed, to ignite was TMR_FLTR_RIE.ME may to, check this recipe....TOOL ready for, full quals.., Problem:DC bias error., PRC:Recipe TMR_FLTR_RIE., Action:Rempved the RF feed thru rod, and cleaned.Scotch brite copper ring and, plate,Re-assembled the caps.Got a list, of recipes to run from OP.1.PMR_MIX2,, 2.PP3_ASH_6W_7M,3.N2O2_1.95ccm_115S,, 4.O2PRRE5M,5.MPL1024. Tested all these, recipes and completed process w/o any, DC bias V issues.Only recipe that failed, to ignite was TMR_FLTR_RIE.ME may to, check this recipe....TOOL ready for, full quals.., Problem:DC bias error., PRC:Recipe TMR_FLTR_RIE., Action:Rempved the RF feed thru rod, and cleaned.Scotch brite copper ring and, plate,Re-assembled the caps.Got a list, of recipes to run from OP.1.PMR_MIX2,, 2.PP3_ASH_6W_7M,3.N2O2_1.95ccm_115S,, 4.O2PRRE5M,5.MPL1024. Tested all these, recipes and completed process w/o any, DC bias V issues.Only recipe that failed, to ignite was TMR_FLTR_RIE.ME may to, check this recipe....TOOL ready for, full quals..",DC bias error on recipe TMR_FLTR_RIE; only TMR_FLTR_RIE fails to ignite while other recipes show no DC bias V issues.,"Removed the RF feed-through rod and cleaned it. Cleaned copper ring and plate with Scotch-Brite. Re-assembled the caps. Obtained list of recipes from operator (PMR_MIX2, PP3_ASH_6W_7M, N2O2_1.95ccm_115S, O2PRRE5M, MPL1024). Tested all listed recipes and completed processes without DC bias voltage issues. Observed that only TMR_FLTR_RIE failed to ignite and noted that ME should check this recipe. Declared tool ready for full qualifications.",Bias issues on RF or recipes
50,RIE03     ,0,5/14/2025 14:10,UMCOMP,D,"~PROB: RF1 Voltage out of compliance., ~PRC: Unknown., ~ACT: Reset RF unit and ran ""MPL1014"",  recipe without any errors., ________________________________________, ~PROB: RF1 Voltage out of compliance., ~PRC: Unknown., ~ACT: Reset RF unit and ran ""MPL1014"",  recipe without any errors., ________________________________________, ~PROB: RF1 Voltage out of compliance., ~PRC: Unknown., ~ACT: Reset RF unit and ran ""MPL1014"",  recipe without any errors., ________________________________________",RF1 Voltage out of compliance.,"Reset RF unit and ran ""MPL1014"" recipe without any errors. (Repeated for each occurrence)",RF voltage is out of compliance
51,RIE03     ,0,5/15/2025 5:52,UMCOMP,D,"Running 2 dummies conditioning., Running 2 dummies rcp TMR-FLTR-RIE W/O, any issues. RTP for qual., Running 2 dummies conditioning., Running 2 dummies rcp TMR-FLTR-RIE W/O, any issues. RTP for qual., Running 2 dummies conditioning., Running 2 dummies rcp TMR-FLTR-RIE W/O, any issues. RTP for qual.",Any issues with running 2 dummies recipe TMR-FLTR-RIE W/O prior to RTP for qualification.,"Running 2 dummies for conditioning, then running 2 dummies with recipe TMR-FLTR-RIE W/O, followed by RTP for qualification (sequence repeated).",
52,RIE03     ,0,5/16/2025 8:55,UMCOMP,D,"Test run completed w/o any problem. RTP, Test run completed w/o any problem. RTP, Test run completed w/o any problem. RTP",,Test run completed without any problem (RTP),
